Order_ID,Order_Date,Year,Quarter,Month,Month_Name,Year_Month,Customer_ID,Customer_Name,Customer_Segment,Customer_Since,Customer_Tenure_Days,Customer_Tenure_Years,City,State,Region,Product_ID,Product_Name,Category,Subcategory,Brand,Sales_Channel,Quantity,Unit_Price,Discount,Discount_Percent,Discount_Amount,Discount_Per_Unit,Unit_Cost,Gross_Sales,Revenue,Revenue_Per_Unit,COGS,Gross_Profit,Profit_Per_Unit,Gross_Margin,Day_Name
ORD00022,2025-10-28,2025,Q4,10,October,2025-10,CUS0981,Elijah Nadkarni,Corporate,2025-06-21,129,0.3531827515400411,Madurai,Tamil Nadu,South,PROD022,Gel Pen Pack,Office Supplies,Writing & Paper,WriteWell,Store,13,307.86,0.15,15,600.33,46.17923076923077,150.85,4002.18,3401.85,261.6807692307692,1961.05,1440.8,110.8307692307692,0.4235342534209327,Tuesday
ORD00023,2023-12-28,2023,Q4,12,December,2023-12,CUS0963,Omisha Walla,Corporate,2023-06-08,203,0.5557837097878165,Warangal,Telangana,South,PROD022,Gel Pen Pack,Office Supplies,Writing & Paper,WriteWell,Store,15,300.23,0.15,15,675.52,45.03466666666667,147.11,4503.45,3827.93,255.1953333333333,2206.65,1621.28,108.0853333333333,0.4235396154057154,Thursday
ORD00024,2023-01-02,2023,Q1,1,January,2023-01,CUS0260,Logan Bath,Consumer,2021-04-26,616,1.686516084873374,Delhi,Delhi,North,PROD018,Storage Rack,Furniture,Storage,HomeSpace,Store,1,5732.34,0.1,10,573.23,573.23,3840.67,5732.34,5159.11,5159.11,3840.67,1318.44,1318.44,0.2555557063136859,Monday
ORD00025,2024-09-21,2024,Q3,9,September,2024-09,CUS0810,Chameli Khanna,Small Business,2021-10-26,1061,2.90485968514716,Surat,Gujarat,West,PROD020,Office Storage Box,Furniture,Storage,OrganizeIt,Online,8,1183.56,0.0,0,0.0,0.0,710.14,9468.48,9468.48,1183.56,5681.12,3787.36,473.42,0.3999966203656765,Saturday
ORD00026,2025-09-22,2025,Q3,9,September,2025-09,CUS0408,Zaid Comar,Consumer,2021-03-22,1645,4.503764544832307,Kanpur,Uttar Pradesh,North,PROD044,Fitness Tracker,Sports & Fitness,Fitness Equipment,FitTech,Store,1,3834.26,0.1,10,383.43,383.43,2338.9,3834.26,3450.83,3450.83,2338.9,1111.93,1111.93,0.3222210308824254,Monday
ORD00027,2025-10-27,2025,Q4,10,October,2025-10,CUS0922,Tanmayi Magar,Corporate,2024-04-13,562,1.538672142368241,Kolkata,West Bengal,East,PROD033,Air Fryer,Home & Lifestyle,Kitchen,HomeEase,Online,14,6483.93,0.1,10,9077.5,648.3928571428571,4344.23,90775.02,81697.52,5835.537142857143,60819.22,20878.3,1491.307142857143,0.2555561050078387,Monday
ORD00028,2025-10-31,2025,Q4,10,October,2025-10,CUS0281,Azaan Bhat,Consumer,2025-01-28,276,0.75564681724846,Coimbatore,Tamil Nadu,South,PROD008,Noise Cancelling Headphones,Electronics,Audio,SoundMax,Online,3,7283.85,0.1,10,2185.16,728.3866666666667,4515.99,21851.55,19666.39,6555.463333333333,13547.97,6118.42,2039.473333333333,0.3111104783338478,Friday
ORD00029,2025-02-03,2025,Q1,2,February,2025-02,CUS0896,Jagrati Guha,Corporate,2022-05-28,982,2.688569472963724,Hyderabad,Telangana,South,PROD036,Table Lamp,Home & Lifestyle,Home Essentials,HomeEase,Store,13,1187.88,0.1,10,1544.24,118.7876923076923,665.21,15442.44,13898.2,1069.092307692308,8647.73,5250.47,403.8823076923077,0.3777805759019153,Monday
ORD00030,2025-03-28,2025,Q1,3,March,2025-03,CUS0673,Pushti Kakar,Small Business,2025-03-18,10,0.02737850787132101,Madurai,Tamil Nadu,South,PROD035,Lunch Box,Home & Lifestyle,Kitchen,LifePlus,Online,8,573.84,0.0,0,0.0,0.0,309.87,4590.72,4590.72,573.84,2478.96,2111.76,263.97,0.4600062735257215,Friday
ORD00031,2025-12-02,2025,Q4,12,December,2025-12,CUS0801,Harrison Srinivas,Small Business,2025-12-01,1,0.002737850787132101,Madurai,Tamil Nadu,South,PROD021,Ballpoint Pen Pack,Office Supplies,Writing & Paper,WriteWell,Online,4,255.2,0.05,5,51.04,12.76,122.5,1020.8,969.76,242.44,490.0,479.76,119.94,0.4947203431776934,Tuesday
ORD00032,2025-09-21,2025,Q3,9,September,2025-09,CUS0390,Zehaan Bansal,Consumer,2022-08-17,1131,3.096509240246407,Mumbai,Maharashtra,West,PROD010,Soundbar,Electronics,Audio,AudioWave,Online,1,8764.2,0.05,5,438.21,438.21,5609.09,8764.2,8325.99,8325.99,5609.09,2716.9,2716.9,0.3263155492620097,Sunday
ORD00033,2025-11-09,2025,Q4,11,November,2025-11,CUS0365,Ikshita Bala,Consumer,2024-07-13,484,1.325119780971937,Durgapur,West Bengal,East,PROD029,Scissors,Office Supplies,Desk Supplies,WriteWell,Store,1,181.28,0.1,10,18.13,18.13,97.89,181.28,163.15,163.15,97.89,65.26,65.26,0.4,Sunday
ORD00034,2024-10-04,2024,Q4,10,October,2024-10,CUS0414,Dhruv Mannan,Consumer,2023-07-21,441,1.207392197125257,Kolkata,West Bengal,East,PROD004,Laptop Stand,Electronics,Computer Accessories,TechCore,Online,2,1439.54,0.05,5,143.95,71.975,791.75,2879.08,2735.13,1367.565,1583.5,1151.63,575.815,0.4210512845824513,Friday
ORD00035,2023-09-11,2023,Q3,9,September,2023-09,CUS0602,Faraj Patel,Small Business,2023-02-22,201,0.5503080082135524,Pune,Maharashtra,West,PROD006,Bluetooth Speaker,Electronics,Audio,SoundMax,Store,7,2101.92,0.15,15,2207.02,315.2885714285714,1219.11,14713.44,12506.42,1786.631428571429,8533.77,3972.65,567.5214285714286,0.3176488555477907,Monday
ORD00036,2025-02-11,2025,Q1,2,February,2025-02,CUS0104,Joshua Handa,Consumer,2024-07-30,196,0.5366187542778919,Surat,Gujarat,West,PROD048,Cricket Bat,Sports & Fitness,Sports Accessories,SportMax,Store,3,2882.78,0.05,5,432.42,144.14,1816.15,8648.34,8215.92,2738.64,5448.45,2767.47,922.4899999999999,0.3368423743171793,Tuesday
ORD00037,2024-05-26,2024,Q2,5,May,2024-05,CUS0324,Dayita Nori,Consumer,2022-11-20,553,1.514031485284052,Warangal,Telangana,South,PROD023,Notebook,Office Supplies,Writing & Paper,PaperPlus,Online,2,176.01,0.0,0,0.0,0.0,91.53,352.02,352.02,176.01,183.06,168.96,84.48,0.4799727288222261,Sunday
ORD00038,2023-07-20,2023,Q3,7,July,2023-07,CUS0947,Hitesh Bath,Corporate,2022-05-26,420,1.149897330595482,Siliguri,West Bengal,East,PROD046,Running Shoes,Sports & Fitness,Sports Accessories,SportMax,Store,3,3624.59,0.2,20,2174.75,724.9166666666666,2319.74,10873.77,8699.02,2899.673333333334,6959.22,1739.8,579.9333333333333,0.199999540178089,Thursday
ORD00039,2024-04-29,2024,Q2,4,April,2024-04,CUS0087,Mohammed Khalsa,Consumer,2022-05-20,710,1.943874058863792,Lucknow,Uttar Pradesh,North,PROD039,Air Purifier,Home & Lifestyle,Home Essentials,AirPure,Store,3,12511.64,0.0,0,0.0,0.0,8758.15,37534.92,37534.92,12511.64,26274.45,11260.47,3753.49,0.2999998401488534,Monday
ORD00040,2023-11-27,2023,Q4,11,November,2023-11,CUS0283,Ethan Buch,Consumer,2023-09-28,60,0.1642710472279261,Siliguri,West Bengal,East,PROD037,Wall Clock,Home & Lifestyle,Home Essentials,HomeEase,Online,2,891.09,0.05,5,89.11,44.555,516.83,1782.18,1693.07,846.535,1033.66,659.41,329.705,0.3894759224367569,Monday
ORD00041,2024-11-03,2024,Q4,11,November,2024-11,CUS0280,Caleb Verma,Consumer,2023-07-27,465,1.273100616016427,Coimbatore,Tamil Nadu,South,PROD047,Football,Sports & Fitness,Sports Accessories,SportMax,Online,1,925.57,0.05,5,46.28,46.28,527.57,925.57,879.29,879.29,527.57,351.72,351.72,0.4000045491248622,Sunday
ORD00042,2025-10-29,2025,Q4,10,October,2025-10,CUS0485,Abdul Dugar,Consumer,2024-06-18,498,1.363449691991786,Mumbai,Maharashtra,West,PROD046,Running Shoes,Sports & Fitness,Sports Accessories,SportMax,Store,3,3519.52,0.1,10,1055.86,351.9533333333333,2252.49,10558.56,9502.7,3167.566666666667,6757.47,2745.23,915.0766666666667,0.2888894735180527,Wednesday
ORD00043,2024-11-25,2024,Q4,11,November,2024-11,CUS0264,Vrishti Reddy,Consumer,2023-05-20,555,1.519507186858316,Delhi,Delhi,North,PROD005,Webcam,Electronics,Computer Accessories,ViewPro,Store,2,2519.8,0.0,0,0.0,0.0,1562.28,5039.6,5039.6,2519.8,3124.56,1915.04,957.52,0.3799984125724263,Monday
ORD00044,2025-01-07,2025,Q1,1,January,2025-01,CUS0104,Joshua Handa,Consumer,2024-07-30,161,0.4407939767282683,Surat,Gujarat,West,PROD012,Executive Office Chair,Furniture,Office Furniture,WorkPro,Online,2,11972.15,0.0,0,0.0,0.0,8141.06,23944.3,23944.3,11972.15,16282.12,7662.18,3831.09,0.3200001670543721,Tuesday
ORD00045,2023-11-10,2023,Q4,11,November,2023-11,CUS0097,Radha Pai,Consumer,2023-09-02,69,0.188911704312115,Coimbatore,Tamil Nadu,South,PROD024,Spiral Notebook,Office Supplies,Writing & Paper,PaperPlus,Store,3,239.21,0.0,0,0.0,0.0,122.0,717.63,717.63,239.21,366.0,351.63,117.21,0.489987876761005,Friday
ORD00046,2024-05-19,2024,Q2,5,May,2024-05,CUS0862,Mekhala Chaudry,Corporate,2021-01-23,1212,3.318275154004107,Noida,Uttar Pradesh,North,PROD050,Sports Backpack,Sports & Fitness,Sports Accessories,ActiveLife,Online,5,1558.54,0.2,20,1558.54,311.708,872.78,7792.7,6234.16,1246.832,4363.9,1870.26,374.052,0.3000019248784119,Sunday
ORD00047,2025-12-06,2025,Q4,12,December,2025-12,CUS0793,Hemang Taneja,Small Business,2022-03-13,1364,3.734428473648186,Ahmedabad,Gujarat,West,PROD013,Computer Desk,Furniture,Office Furniture,WorkPro,Online,1,8066.94,0.0,0,0.0,0.0,5404.85,8066.94,8066.94,8066.94,5404.85,2662.09,2662.09,0.3299999752074517,Saturday
ORD00048,2025-10-05,2025,Q4,10,October,2025-10,CUS0538,Krisha Gour,Consumer,2025-07-30,67,0.1834360027378508,Bengaluru,Karnataka,South,PROD009,Portable Speaker,Electronics,Audio,AudioWave,Online,2,4416.38,0.0,0,0.0,0.0,2605.66,8832.76,8832.76,4416.38,5211.32,3621.44,1810.72,0.4100009510051218,Sunday
ORD00049,2023-12-23,2023,Q4,12,December,2023-12,CUS0637,Rachit Pau,Small Business,2023-10-10,74,0.2026009582477755,Vadodara,Gujarat,West,PROD050,Sports Backpack,Sports & Fitness,Sports Accessories,ActiveLife,Online,5,1537.78,0.15,15,1153.33,230.666,861.16,7688.9,6535.57,1307.114,4305.8,2229.77,445.954,0.341174526475885,Saturday
ORD00050,2024-03-12,2024,Q1,3,March,2024-03,CUS0016,Shaurya Loke,Consumer,2021-08-10,945,2.587268993839836,New Delhi,Delhi,North,PROD036,Table Lamp,Home & Lifestyle,Home Essentials,HomeEase,Store,3,1148.79,0.1,10,344.64,114.88,643.32,3446.37,3101.73,1033.91,1929.96,1171.77,390.59,0.3777794972483098,Tuesday
ORD00051,2025-01-26,2025,Q1,1,January,2025-01,CUS0731,Abhiram Pillay,Small Business,2022-09-16,863,2.362765229295003,Hyderabad,Telangana,South,PROD005,Webcam,Electronics,Computer Accessories,ViewPro,Store,3,2594.82,0.1,10,778.45,259.4833333333333,1608.79,7784.46,7006.01,2335.336666666667,4826.37,2179.64,726.5466666666666,0.3111100326719488,Sunday
ORD00052,2025-12-11,2025,Q4,12,December,2025-12,CUS0485,Abdul Dugar,Consumer,2024-06-18,541,1.481177275838467,Mumbai,Maharashtra,West,PROD040,Humidifier,Home & Lifestyle,Home Essentials,AirPure,Store,2,5055.84,0.1,10,1011.17,505.585,3336.85,10111.68,9100.51,4550.255,6673.7,2426.81,1213.405,0.2666674724823114,Thursday
ORD00053,2025-10-29,2025,Q4,10,October,2025-10,CUS0014,Harrison Rai,Consumer,2023-05-14,899,2.461327857631759,Mangaluru,Karnataka,South,PROD020,Office Storage Box,Furniture,Storage,OrganizeIt,Store,3,1152.43,0.05,5,172.86,57.62,691.46,3457.29,3284.43,1094.81,2074.38,1210.05,403.35,0.3684200911573698,Wednesday
ORD00054,2024-03-26,2024,Q1,3,March,2024-03,CUS0229,Ekapad Keer,Consumer,2023-06-12,288,0.7885010266940452,Vadodara,Gujarat,West,PROD045,Exercise Bike,Sports & Fitness,Fitness Equipment,FitTech,Store,1,24138.62,0.0,0,0.0,0.0,17379.81,24138.62,24138.62,24138.62,17379.81,6758.81,6758.81,0.2799998508613997,Tuesday
ORD00055,2025-11-01,2025,Q4,11,November,2025-11,CUS0815,Finn Solanki,Small Business,2021-12-25,1407,3.852156057494867,Hyderabad,Telangana,South,PROD001,Wireless Mouse,Electronics,Computer Accessories,NovaTech,Store,6,931.76,0.05,5,279.53,46.58833333333333,540.42,5590.56,5311.03,885.1716666666666,3242.52,2068.51,344.7516666666667,0.3894743580812009,Saturday
ORD00056,2023-12-22,2023,Q4,12,December,2023-12,CUS0716,Jacob Balan,Small Business,2023-11-07,45,0.1232032854209446,Surat,Gujarat,West,PROD013,Computer Desk,Furniture,Office Furniture,WorkPro,Store,1,8263.48,0.0,0,0.0,0.0,5536.53,8263.48,8263.48,8263.48,5536.53,2726.95,2726.95,0.3300001936230256,Friday
ORD00057,2025-06-23,2025,Q2,6,June,2025-06,CUS0007,Harini Mall,Consumer,2022-04-29,1151,3.151266255989049,Kolkata,West Bengal,East,PROD037,Wall Clock,Home & Lifestyle,Home Essentials,HomeEase,Store,1,869.54,0.1,10,86.95,86.95,504.33,869.54,782.59,782.59,504.33,278.26,278.26,0.355562938447974,Monday
ORD00058,2024-09-02,2024,Q3,9,September,2024-09,CUS0769,Zaid Bahl,Small Business,2024-04-03,152,0.4161533196440794,Durgapur,West Bengal,East,PROD032,Coffee Maker,Home & Lifestyle,Kitchen,HomeEase,Online,7,4700.27,0.0,0,0.0,0.0,3055.18,32901.89,32901.89,4700.27,21386.26,11515.63,1645.09,0.3499990426081906,Monday
ORD00059,2025-01-16,2025,Q1,1,January,2025-01,CUS0764,Irya Kala,Small Business,2022-08-05,895,2.45037645448323,Noida,Uttar Pradesh,North,PROD042,Dumbbell Set,Sports & Fitness,Fitness Equipment,ActiveLife,Online,6,2385.46,0.05,5,715.64,119.2733333333333,1478.99,14312.76,13597.12,2266.186666666667,8873.94,4723.18,787.1966666666667,0.3473662069614742,Thursday
ORD00060,2024-05-26,2024,Q2,5,May,2024-05,CUS0958,Chaitaly Sethi,Corporate,2022-02-19,827,2.264202600958248,Vadodara,Gujarat,West,PROD043,Resistance Bands,Sports & Fitness,Fitness Equipment,ActiveLife,Store,14,776.81,0.05,5,543.77,38.84071428571428,411.71,10875.34,10331.57,737.9692857142857,5763.94,4567.63,326.2592857142857,0.4421041526118489,Sunday
ORD00061,2024-04-06,2024,Q2,4,April,2024-04,CUS0859,Udarsh Krishnan,Corporate,2023-08-08,242,0.6625598904859685,Vadodara,Gujarat,West,PROD018,Storage Rack,Furniture,Storage,HomeSpace,Store,7,5637.21,0.2,20,7892.09,1127.441428571429,3776.93,39460.47,31568.38,4509.768571428572,26438.51,5129.87,732.8385714285714,0.1625002613374522,Saturday
ORD00062,2024-11-11,2024,Q4,11,November,2024-11,CUS0943,Januja Bhagat,Corporate,2022-11-24,718,1.965776865160849,Vadodara,Gujarat,West,PROD035,Lunch Box,Home & Lifestyle,Kitchen,LifePlus,Store,14,571.49,0.1,10,800.09,57.14928571428572,308.6,8000.86,7200.77,514.3407142857143,4320.4,2880.37,205.7407142857143,0.400008610190299,Monday
ORD00063,2025-07-11,2025,Q3,7,July,2025-07,CUS0908,Ryan Lall,Corporate,2025-06-14,27,0.07392197125256673,New Delhi,Delhi,North,PROD002,Mechanical Keyboard,Electronics,Computer Accessories,NovaTech,Online,8,2880.46,0.1,10,2304.37,288.04625,1728.28,23043.68,20739.31,2592.41375,13826.24,6913.07,864.13375,0.3333317260796044,Friday
ORD00064,2025-07-08,2025,Q3,7,July,2025-07,CUS0626,Devika Oza,Small Business,2024-11-15,235,0.6433949349760438,Hyderabad,Telangana,South,PROD011,Ergonomic Office Chair,Furniture,Office Furniture,WorkPro,Online,1,7737.44,0.15,15,1160.62,1160.62,5029.34,7737.44,6576.82,6576.82,5029.34,1547.48,1547.48,0.2352930443588239,Tuesday
ORD00065,2024-12-06,2024,Q4,12,December,2024-12,CUS0595,Atharv Chakraborty,Consumer,2024-01-05,336,0.919917864476386,Pune,Maharashtra,West,PROD014,Standing Desk,Furniture,Office Furniture,WorkPro,Online,1,14539.69,0.0,0,0.0,0.0,10032.39,14539.69,14539.69,14539.69,10032.39,4507.3,4507.3,0.3099997317686966,Friday
ORD00066,2025-05-12,2025,Q2,5,May,2025-05,CUS0474,Umang Mishra,Consumer,2023-06-17,695,1.90280629705681,Hyderabad,Telangana,South,PROD042,Dumbbell Set,Sports & Fitness,Fitness Equipment,ActiveLife,Online,1,2502.35,0.05,5,125.12,125.12,1551.46,2502.35,2377.23,2377.23,1551.46,825.77,825.77,0.3473664727434871,Monday
ORD00067,2024-06-18,2024,Q2,6,June,2024-06,CUS0992,Ekani Varkey,Corporate,2021-09-13,1009,2.76249144421629,Durgapur,West Bengal,East,PROD003,USB-C Hub,Electronics,Computer Accessories,TechCore,Store,10,1730.76,0.15,15,2596.14,259.614,986.53,17307.6,14711.46,1471.146,9865.3,4846.16,484.616,0.329413939880882,Tuesday
ORD00068,2025-12-11,2025,Q4,12,December,2025-12,CUS0304,Oni Setty,Consumer,2023-11-26,746,2.042436687200547,Durgapur,West Bengal,East,PROD049,Badminton Racket,Sports & Fitness,Sports Accessories,SportMax,Online,2,1788.22,0.0,0,0.0,0.0,1055.05,3576.44,3576.44,1788.22,2110.1,1466.34,733.17,0.4099998881569382,Thursday
ORD00069,2024-06-05,2024,Q2,6,June,2024-06,CUS0910,Balveer Taneja,Corporate,2022-10-08,606,1.659137577002053,Mangaluru,Karnataka,South,PROD001,Wireless Mouse,Electronics,Computer Accessories,NovaTech,Store,8,906.89,0.05,5,362.76,45.345,526.0,7255.12,6892.36,861.545,4208.0,2684.36,335.545,0.3894689192090953,Wednesday
ORD00070,2025-03-30,2025,Q1,3,March,2025-03,CUS0076,Hredhaan Dugal,Consumer,2023-04-27,703,1.924709103353867,Chennai,Tamil Nadu,South,PROD011,Ergonomic Office Chair,Furniture,Office Furniture,WorkPro,Online,2,7729.88,0.0,0,0.0,0.0,5024.42,15459.76,15459.76,7729.88,10048.84,5410.92,2705.46,0.3500002587362288,Sunday
ORD00071,2025-12-17,2025,Q4,12,December,2025-12,CUS0881,Hema Rout,Corporate,2025-11-05,42,0.1149897330595483,Nagpur,Maharashtra,West,PROD009,Portable Speaker,Electronics,Audio,AudioWave,Store,13,4306.49,0.1,10,5598.44,430.6492307692307,2540.83,55984.37,50385.93,3875.840769230769,33030.79,17355.14,1335.010769230769,0.3444441732047022,Wednesday
